"url","title_len","desc_len","h1_count","issues"
"/","45","134","1",""
"/%d0%bc%d0%b0%d0%b3%d0%b0%d1%82%d0%b0-%d1%84%d0%b5%d1%81%d1%82-sofie-recykluje/","51","154","1",""
"/action-aquapark-vodni-svet-plny-zabavy/","40","158","1",""
"/architektonicka-boure-v-sofii/","50","158","1",""
"/boj-proti-krutosti-na-zviratech/","52","157","1",""
"/bourky-v-bulharsku-21-cervence-2026/","52","146","1",""
"/boxer-koko-tyson-mel-nehodu/","48","150","1",""
"/brutalni-napadeni-v-srdci-sofie/","52","156","1",""
"/brutalni-utok-v-sofii-otrasl-zemi/","54","152","1",""
"/bulharska-unique-estates-miri-do-dubaje/","39","141","1",""
"/bulharsko-bez-starosti-co-potrebujete-vedet-o-celnich-a-devizovych-predpisech/","49","153","1",""
"/bulharsko-celi-nedostatku-vody/","51","152","1",""
"/bulharsko-meni-dalnicni-priority/","53","158","1",""
"/bulharsko-ocima-parizana-kouzlo-kultury-a-komunikace/","53","133","1",""
"/bulharsko-poklad-pro-milovniky-vina/","36","153","1",""
"/bulharsko-pomaha-obetem-pozaru/","51","152","1",""
"/bulharsko-posiluje-energetickou-nezavislost/","43","128","1",""
"/bulharsko-primorsko/","61","139","1",""
"/bulharsko-protestuje-za-zvirata/","53","152","1",""
"/bulharsko-revoluce-ve-zdravotni-peci/","37","126","1",""
"/bulharsko-se-neleti-z-dvojky/","38","141","1",""
"/bulharsko-tradice-vs-inovace/","51","152","1",""
"/bulharsko-trapi-nedostatek-vody/","52","154","1",""
"/bulharsko-vlna-veder-konec-cervence-2026/","40","130","1",""
"/bulharsko-vs-francie-kouzlo-komunikace/","40","156","1",""
"/bulharsko-zasahlo-chladne-pocasi/","54","158","1",""
"/bulharsko-zprisni-tresty-za-tyrani-zvirat/","41","158","1",""
"/bulharsky-jazyk/","61","153","1",""
"/burgas-2025-novy-plaza-mall-laka/","55","126","1",""
"/burgas-klic-k-energeticke-budoucnosti/","38","152","1",""
"/burgas-vs-gabrovo-kdo-bude-kulturni-metropoli-2032/","53","137","1",""
"/chytre-zemedelstvi-v-bulharsku-tradice-a-inovace/","50","136","1",""
"/diety-ktere-skodi-misto-pomahaji/","55","159","1",""
"/do-bulharska-s-pasem-nebo-obcankou/","55","134","1",""
"/dovolena-bulharsko-2025/","63","134","1",""
"/drama-v-sofii-napadeni-strazneho/","54","155","1",""
"/ekologicky-raj-v-sofii-levna-doprava-a-cistsi-vzduch/","54","144","1",""
"/evropsky-parlament-zprisnuje-bezpecnost-v-sofii/","47","130","1",""
"/frankfurt-zima-komplikuje-lety/","53","154","1",""
"/gastronomicka-revoluce-v-sofii/","52","127","1",""
"/husta-mlha-hali-sofii-zmena-uz-brzy/","37","156","1",""
"/husta-mlha-na-letisti-v-sofii-jak-pocasi-zamichalo-leteckymi-plany-a-prineslo-dobrodruzstvi-cestujicim/","50","125","1",""
"/ilyrove-a-thrakove-predchudci-bulharskeho-naroda/","49","156","1",""
"/jak-do-nessebaru/","52","139","1",""
"/jak-si-uzit-bulharsko-i-v-chladu/","54","156","1",""
"/jak-technologie-meni-bulharske-farmy/","37","157","1",""
"/kamenny-les-v-ohrozeni-proc/","50","156","1",""
"/katedrala-svateho-cyrila-a-metodeje-v-burgasu/","65","140","1",""
"/kaufland-expanduje-v-bulharsku/","52","157","1",""
"/klubovna-unikatni-chut-sofie/","50","155","1",""
"/kontakt/","48","134","1",""
"/kosovsky-fotbalista-celi-vyhruzkam/","35","129","1",""
"/kouzlo-tradicni-bulharske-hudby/","52","157","1",""
"/lepsi-lety-do-bulharska-otazka-poplatku/","40","159","1",""
"/letiste-v-damasku-opet-oziva/","50","154","1",""
"/letiste-v-damasku-opet-oziva-2/","50","152","1",""
"/levne-lety-do-bulharska-na-obzoru/","55","157","1",""
"/mozne-znovuotevreni-ruskeho-konzulatu-ve-varne/","46","126","1",""
"/navrat-kuzmova-zmeny-v-sofii/","51","155","1",""
"/nebezpecne-vapovani-v-sofii/","49","158","1",""
"/nejstarsi-osidleni-bulharska-cesta-k-civilizaci/","48","157","1",""
"/nejstarsi-osidleni-bulharska-od-paleolitu-po-neolit/","65","140","1",""
"/nelegalni-naplne-sokuji-bulharsko/","54","154","1",""
"/nemovitosti-bulharsko/","41","129","1",""
"/nepriznive-pocasi-komplikuje-lety/","54","152","1",""
"/nesebar-muzeum-pod-sirym-nebem/","42","137","1",""
"/nessebar-cernomorska-perla/","49","132","1",""
"/nocni-doprava-v-sofii-v-ohrozeni/","53","158","1",""
"/nova-pravidla-na-letisti-v-sofii/","53","154","1",""
"/nove-parkovaci-zony-v-sofii-%f0%9f%9a%97/","49","154","1",""
"/novy-sef-bezpecnejsi-doprava/","51","158","1",""
"/o-nas/","35","133","1",""
"/oboriste-nova-era-pod-kuzmovem/","52","155","1",""
"/ochrana-osobnich-udaju/","49","144","1",""
"/opustene-lazne-sofie-pribeh-znovuzrozeni/","41","151","1",""
"/oslavy-osvobozeni-sofie-historie-oziva/","40","137","1",""
"/parkovani-v-sofii-zdrazi-%f0%9f%9a%97%f0%9f%92%b0/","46","150","1",""
"/petrohrad-nahle-uzavreni-letiste/","54","159","1",""
"/plovdiv-nejstarsi-mesto-evropy/","43","141","1",""
"/pocasi-komplikuje-lety-z-frankfurtu/","35","133","1",""
"/pocasi-v-bulharsku-kdy-vyrazit-a-co-ocekavat/","38","156","1",""
"/pozar-ochromil-letiste-heathrow/","53","126","1",""
"/protest-v-sofii-skody-za-180-tis-e/","36","155","1",""
"/prozijte-nezapomenutelny-silvestr-v-sofii-mesto-plne-zabavy-a-nocni-dopravy-az-do-rana/","38","158","1",""
"/rilsky-klaster-perla-bulharskych-hor/","38","129","1",""
"/ruska-ambasada-v-sofii-sila-a-napeti/","37","156","1",""
"/ryanair-rozsiruje-lety-do-bulharska/","36","154","1",""
"/skandal-na-plazi-butamjata/","48","154","1",""
"/skandal-na-plazi-butamyata-%f0%9f%8c%8a%f0%9f%8f%96%ef%b8%8f/","50","152","1",""
"/slunecne-pobrezi-klenot-cerneho-more/","37","137","1",""
"/sofia-big-table-25-cervence-2026/","35","126","1",""
"/sofia-dokumental-sila-pravdy-ve-filmu/","38","151","1",""
"/sofia-slavi-147-let-svobody/","49","150","1",""
"/sofia-slavi-navrat-do-roku-1878/","53","157","1",""
"/sofia-v-mlze-tajemna-atmosfera-mesta/","37","129","1",""
"/sofie-bez-tepla-nouzova-opatreni/","54","153","1",""
"/sofie-bez-tepla-zima-klepe-na-dvere/","36","152","1",""
"/sofie-ekologie-a-moderni-zivot/","52","153","1",""
"/sofie-energeticka-krize-na-vzestupu/","36","126","1",""
"/sofie-historie-kultura-i-vyzvy/","53","158","1",""
"/sofie-nove-centrum-ai-v-evrope/","52","157","1",""
"/sok-v-boxu-koko-tyson-v-nemocnici/","55","156","1",""
"/sokujici-utok-v-centru-sofie/","49","155","1",""
"/soud-ve-varne-spor-o-svobodu-slova/","35","151","1",""
"/stefan-dobrev-lider-inovaci-v-evrope/","37","159","1",""
